id,first_name,last_name,email,class,invitation_code
1,Korie,Charsley,korie.charsley@students.htl-leonding.ac.at,3CHIF,u3xx066
2,Roy,Haselgrove,roy.haselgrove@students.htl-leonding.ac.at,1DHIF,f3cm005
3,Clemmie,Ollive,clemmie.ollive@students.htl-leonding.ac.at,3DHIF,f4mn824
4,Tobiah,Ollin,tobiah.ollin@students.htl-leonding.ac.at,4DHIF,c4rx510
5,Milt,Crotty,milt.crotty@students.htl-leonding.ac.at,3BHIF,c1bs191
6,Amil,Hastwall,amil.hastwall@students.htl-leonding.ac.at,2CHIF,k3gh226
7,Mattie,Hanwright,mattie.hanwright@students.htl-leonding.ac.at,5DHIF,f1oy027
8,Hortensia,Gavan,hortensia.gavan@students.htl-leonding.ac.at,2BHIF,a4nk843
9,Zola,Wilbore,zola.wilbore@students.htl-leonding.ac.at,1DHIF,g0sc797
10,Janenna,Oppie,janenna.oppie@students.htl-leonding.ac.at,2DHIF,d5ay123
11,Galina,Oneil,galina.oneil@students.htl-leonding.ac.at,1DHIF,p6ia680
12,Bail,Egarr,bail.egarr@students.htl-leonding.ac.at,2CHIF,m1te006
13,Dickie,Gulleford,dickie.gulleford@students.htl-leonding.ac.at,5DHIF,p9eh667
14,Guido,Bessant,guido.bessant@students.htl-leonding.ac.at,5DHIF,o9wh804
15,Winifred,Itzcovichch,winifred.itzcovichch@students.htl-leonding.ac.at,5CHIF,i5lq402
16,Aluino,Wadham,aluino.wadham@students.htl-leonding.ac.at,1DHIF,l3li423
17,Joya,Cruise,joya.cruise@students.htl-leonding.ac.at,3BHIF,q8vt572
18,Dame,Dawtre,dame.dawtre@students.htl-leonding.ac.at,1AHIF,y8aa730
19,Haleigh,Kilvington,haleigh.kilvington@students.htl-leonding.ac.at,4AHIF,t4xy531
20,Tonye,Playfair,tonye.playfair@students.htl-leonding.ac.at,5AHIF,o0bw193
21,Carleton,Hedling,carleton.hedling@students.htl-leonding.ac.at,1BHIF,t1vu461
22,Karol,Breazeall,karol.breazeall@students.htl-leonding.ac.at,3CHIF,k1mr912
23,Daphne,Caverhill,daphne.caverhill@students.htl-leonding.ac.at,5AHIF,w8ib495
24,Phillie,Verdun,phillie.verdun@students.htl-leonding.ac.at,3DHIF,v0uz584
25,Cacilia,Ucchino,cacilia.ucchino@students.htl-leonding.ac.at,5AHIF,v6ba915
26,Percy,Green,percy.green@students.htl-leonding.ac.at,5AHIF,c0nn228
27,Stafford,Piwell,stafford.piwell@students.htl-leonding.ac.at,2DHIF,e3dm520
28,Quentin,Prickett,quentin.prickett@students.htl-leonding.ac.at,4CHIF,d2qp513
29,Ginni,Benda,ginni.benda@students.htl-leonding.ac.at,5CHIF,g4kz546
30,Bili,Brock,bili.brock@students.htl-leonding.ac.at,4CHIF,c6ui056
31,Elizabet,Londer,elizabet.londer@students.htl-leonding.ac.at,5DHIF,p8cn579
32,Arabele,Heasly,arabele.heasly@students.htl-leonding.ac.at,1CHIF,u0xa997
33,Lydie,Pluthero,lydie.pluthero@students.htl-leonding.ac.at,3CHIF,d7mr513
34,Aura,Vasyatkin,aura.vasyatkin@students.htl-leonding.ac.at,4DHIF,p8pq694
35,Yale,Sturrock,yale.sturrock@students.htl-leonding.ac.at,3DHIF,t5ak429
36,Ashien,Gronou,ashien.gronou@students.htl-leonding.ac.at,5BHIF,y4ih178
37,Priscilla,Aguilar,priscilla.aguilar@students.htl-leonding.ac.at,3DHIF,q3ri339
38,Federica,Hinkens,federica.hinkens@students.htl-leonding.ac.at,2AHIF,w6ph138
39,Elfrida,Cockerton,elfrida.cockerton@students.htl-leonding.ac.at,3DHIF,h6ep311
40,Ingelbert,Seleway,ingelbert.seleway@students.htl-leonding.ac.at,3BHIF,c0tl472
41,Laney,Broomer,laney.broomer@students.htl-leonding.ac.at,3CHIF,f8vq066
42,Alvinia,Forde,alvinia.forde@students.htl-leonding.ac.at,3BHIF,y9bp886
43,Mitzi,Bruckstein,mitzi.bruckstein@students.htl-leonding.ac.at,5BHIF,v5al884
44,Everard,Riccione,everard.riccione@students.htl-leonding.ac.at,1BHIF,o7hp649
45,Cassie,Sizey,cassie.sizey@students.htl-leonding.ac.at,5AHIF,t5rm819
46,Desiree,Lennard,desiree.lennard@students.htl-leonding.ac.at,3CHIF,y7qe202
47,Bernice,McSorley,bernice.mcsorley@students.htl-leonding.ac.at,3DHIF,o7wr118
48,Wells,Adin,wells.adin@students.htl-leonding.ac.at,5BHIF,u4ib357
49,Roldan,Stronough,roldan.stronough@students.htl-leonding.ac.at,5CHIF,o5bm320
50,Terese,Vahl,terese.vahl@students.htl-leonding.ac.at,4DHIF,i9xd190
51,Dennie,Buddleigh,dennie.buddleigh@students.htl-leonding.ac.at,2AHIF,p5qr168
52,Keary,Sheahan,keary.sheahan@students.htl-leonding.ac.at,2BHIF,f3qg425
53,Pepillo,Farncomb,pepillo.farncomb@students.htl-leonding.ac.at,5CHIF,t5yr999
54,Wandis,Geroldini,wandis.geroldini@students.htl-leonding.ac.at,4CHIF,l5sk003
55,Andras,O'Grogane,andras.o'grogane@students.htl-leonding.ac.at,2DHIF,r3jd677
56,Krysta,Guice,krysta.guice@students.htl-leonding.ac.at,2DHIF,y4fj200
57,Zollie,Abreheart,zollie.abreheart@students.htl-leonding.ac.at,1DHIF,w4aw583
58,Ferrel,Bartczak,ferrel.bartczak@students.htl-leonding.ac.at,1BHIF,s7tx554
59,Giselle,Brockley,giselle.brockley@students.htl-leonding.ac.at,1CHIF,p6fe185
60,Cynthia,Brumble,cynthia.brumble@students.htl-leonding.ac.at,1CHIF,o3qj746
61,Riobard,Mawby,riobard.mawby@students.htl-leonding.ac.at,3BHIF,o1hl905
62,Stanley,Woollons,stanley.woollons@students.htl-leonding.ac.at,2AHIF,u8pz578
63,Dex,Peinke,dex.peinke@students.htl-leonding.ac.at,5CHIF,n5ca474
64,Carine,Fortune,carine.fortune@students.htl-leonding.ac.at,3AHIF,m0wl490
65,Sarena,Romayne,sarena.romayne@students.htl-leonding.ac.at,1BHIF,c8pc151
66,Leanna,Paslow,leanna.paslow@students.htl-leonding.ac.at,2BHIF,w2ag196
67,Lorne,Klicher,lorne.klicher@students.htl-leonding.ac.at,5AHIF,n2pk273
68,Felita,Furse,felita.furse@students.htl-leonding.ac.at,5AHIF,n7pr556
69,Farand,Schultes,farand.schultes@students.htl-leonding.ac.at,3BHIF,m2fg610
70,Haskell,Inchboard,haskell.inchboard@students.htl-leonding.ac.at,5DHIF,h2wa873
71,Albrecht,Litel,albrecht.litel@students.htl-leonding.ac.at,4BHIF,z3do632
72,Auroora,Tucknott,auroora.tucknott@students.htl-leonding.ac.at,3AHIF,e0zj495
73,Yehudi,Uzelli,yehudi.uzelli@students.htl-leonding.ac.at,5AHIF,x6xe643
74,Arly,Hinrichsen,arly.hinrichsen@students.htl-leonding.ac.at,1BHIF,e9ow805
75,Tris,Paskerful,tris.paskerful@students.htl-leonding.ac.at,5BHIF,m5ld510
76,Erika,Doudney,erika.doudney@students.htl-leonding.ac.at,4CHIF,n6ea179
77,Geneva,Panther,geneva.panther@students.htl-leonding.ac.at,5BHIF,x8ra511
78,Lelia,Sweatman,lelia.sweatman@students.htl-leonding.ac.at,5CHIF,i7mu314
79,Kendra,Crutchfield,kendra.crutchfield@students.htl-leonding.ac.at,1AHIF,d4zi480
80,Jeramey,Pointing,jeramey.pointing@students.htl-leonding.ac.at,4BHIF,o9ev644
81,Henka,Maith,henka.maith@students.htl-leonding.ac.at,5AHIF,f9sd410
82,Guthrie,Prendeguest,guthrie.prendeguest@students.htl-leonding.ac.at,1DHIF,j2ov018
83,Leoline,Jenk,leoline.jenk@students.htl-leonding.ac.at,5BHIF,z8rf825
84,Gene,Bealing,gene.bealing@students.htl-leonding.ac.at,4CHIF,d6dj081
85,Virgina,Torritti,virgina.torritti@students.htl-leonding.ac.at,5CHIF,m5ng339
86,Tailor,Scudder,tailor.scudder@students.htl-leonding.ac.at,3DHIF,y3ar994
87,Nate,Cray,nate.cray@students.htl-leonding.ac.at,4CHIF,q7sh177
88,Kai,Fowell,kai.fowell@students.htl-leonding.ac.at,3BHIF,y0xd537
89,Margalit,Jewes,margalit.jewes@students.htl-leonding.ac.at,5BHIF,f1nv797
90,Brandtr,Canlin,brandtr.canlin@students.htl-leonding.ac.at,5CHIF,w3ie897
91,Melosa,Hrinishin,melosa.hrinishin@students.htl-leonding.ac.at,5CHIF,a3lp414
92,Kelby,Stennett,kelby.stennett@students.htl-leonding.ac.at,3CHIF,v6cu086
